t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,220.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.23888172406825e-08,23.33628985720679,37.88702456774363
0,230.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.255576409265073e-08,29.1461021694689,28.716924913666634
0,239.99999999999997,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.328131452520567e-08,35.86352840397809,20.74896140500115
0,250.00000000000003,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.490078747564836e-08,43.08655996692028,13.616307835169671
0,260.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,6.64590977848697e-08,60.49680869375991,7.009271203634137
0,270.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,5.980686205132635e-08,73.6094913899547,0.6643050688066892
0,280.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,5.559335784376328e-08,83.32988516791596,-5.657095812953812
0,290.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,5.413316867316665e-08,87.03749110732203,-12.191224421758621
0,300.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,5.641252520110642e-08,84.4587117598744,-19.195084277579106
0,310.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,5.8156695547327684e-08,76.21870680414074,-26.968302701150993
0,320.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,6.409151220207848e-08,66.63487875806935,-35.867705855026436
0,330.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,7.036986682085771e-08,57.20831143012497,-46.29290457940808
0,340.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,7.271254444780705e-08,49.12444142612156,-58.59176697290501
0,350.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,7.60329620362645e-08,43.707605524053925,-72.81950933596148
0,0.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,6.724928246077461e-08,58.65230219270111,-88.67418433795135
0,10.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,6.635824307226569e-08,59.565123304171635,78.13986428253236
0,20.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,6.565119416765162e-08,63.4257897713739,65.46007862273022
0,29.999999999999996,50.0,5.0,0.1,0.0,30.0,391.4,1.0,6.122325006946532e-08,68.36312430333616,53.682624051511496
0,40.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.803040379386022e-08,75.10719362477269,42.95876775404871
0,50.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.622362652677337e-08,82.10923396620078,33.239904021644584
0,59.99999999999999,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.448268153105328e-08,86.78384222237531,24.364564103513683
0,70.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.452282257970432e-08,87.6680116418327,16.127455688303442
0,80.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.5138007591448206e-08,84.04441069718378,8.3163778066861
0,90.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.8259408886735516e-08,76.09537223311882,0.7252425836440526
0,100.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,6.369354656951244e-08,65.10386272949808,-6.845911091377804
0,110.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.154545861654818e-08,52.80077585052703,-14.596319516224492
0,119.99999999999999,50.0,5.0,0.1,0.0,30.0,391.4,1.0,8.059575802822549e-08,41.676602661199325,-22.73032292311382
0,130.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.9663899692734e-08,35.84540041194737,-31.45889073324564
0,140.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.924699469397491e-08,30.675395081002222,-40.989951036385854
0,150.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.914018475177641e-08,26.424801550123156,-51.497225773540556
0,160.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.918293660903576e-08,23.26000638028865,-63.057890021281246
0,170.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.92592400664826e-08,21.27824728242136,-75.5666141219303
0,180.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.929767623998091e-08,20.529041639438187,-88.67599173629121
0,190.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.927145677871979e-08,21.028863062416864,78.1557743926381
0,200.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.91984409904011e-08,22.76685739054323,65.4913018706336
0,210.00000000000003,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.914112421560805e-08,25.701021025733063,53.7252690368482
0,220.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.920660241833949e-08,29.745210837273767,43.00894065827652
0,230.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.954651304407181e-08,34.748760674128796,33.29455734744578
0,239.99999999999997,50.0,5.0,0.1,0.0,30.0,391.4,1.0,8.035688030178616e-08,40.47338576301405,24.421656048969176
0,250.00000000000003,50.0,5.0,0.1,0.0,30.0,391.4,1.0,7.129987786148521e-08,51.39404470993878,16.18576061266423
0,260.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,6.341358242948814e-08,63.612917352321425,8.375216644211438
0,270.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.788758856580761e-08,74.78057210887683,0.784242145122521
0,280.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.4622016490049406e-08,83.19770845817831,-6.787016339734113
0,290.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.382234146157967e-08,87.4789707825324,-14.53786643260639
0,300.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.361274911132523e-08,87.30393459507985,-22.672911663541434
0,310.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.5214749844236803e-08,83.13978769099309,-31.40361624515841
0,320.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,5.698178476956294e-08,76.35749427384049,-40.93867142039215
